Time (s),Weight1 (kg),Weight2 (kg),Weight3 (kg),Weight4 (kg),TotalWeight (kg),COP_X (m),COP_Y (m),Angle (deg),Distance (m)
14.48828911781311,-0.16799998341924624,0.33988286363390313,1.430423076923072,3.758999629005635,5.361305586143364,-93.67677604455936,93.49390650657946,135.0559791162327,132.34972203961576
14.53977370262146,-0.18899998134665202,0.33988286363390313,1.5029807692307642,3.70649963418712,5.3603632857051355,-96.1468718136112,90.6578274187658,136.6830872643187,132.14788167743632
14.591076374053955,-0.18899998134665202,0.35018234435008205,1.554807692307687,3.653999639368606,5.369989694679723,-96.92756092781619,87.8087602335169,137.8258930019908,130.78734816931942
14.639113664627075,-0.18899998134665202,0.3604818250662609,1.575538461538456,3.611999643513794,5.359019948771859,-97.18185248451974,86.01569379690498,138.48794659114165,129.7806304179706
14.686864852905273,-0.2099999792740578,0.3604818250662609,1.6584615384615327,3.5699996476589826,5.378943031912718,-99.733003576384,83.07538476115393,140.20645065466246,129.80058380292743
14.736820459365845,-0.24149997616516647,0.32958338291772427,1.8139423076923016,3.4649996580219535,5.367025372466813,-105.22137907845749,78.58058083794461,143.2471857745817,131.3257259641126
14.787959337234497,-0.25199997512886935,0.31928390220154534,1.9175961538461472,3.328499671493816,5.313379752412639,-108.55195603901278,73.79654069776834,145.79108000941096,131.26102459928134
14.828617095947266,-0.24149997616516647,0.3604818250662609,1.9383269230769162,3.265499677711599,5.32280844968961,-107.44050495229608,70.08394117291937,146.88340288677102,128.27790501381594
14.886286973953247,-0.25199997512886935,0.38108078649861865,1.96942307692307,3.265499677711599,5.364003566004419,-107.73840226155403,68.36865475570524,147.6015977854836,127.60029888278963
14.933705568313599,-0.26249997409257225,0.37078130578243973,1.9797884615384547,3.2759996766753017,5.364069469903624,-108.67359271436375,68.80271471096937,147.66154853990813,128.62256141535377
14.978521585464478,-0.28349997201997806,0.33988286363390313,1.9901538461538395,3.254999678747896,5.301536416515661,-111.12066309736582,69.56368820446116,147.95263624208224,131.09885004761014
15.02859377861023,-0.28349997201997806,0.33988286363390313,2.021249999999993,3.23399968082049,5.311632572434409,-111.68947452820363,68.35658095803205,148.5323889899279,130.94716828041084
15.078519821166992,-0.2729999730562751,0.33988286363390313,2.0523461538461465,3.2129996828930842,5.332228727316859,-111.68720236966907,67.14843377401563,148.98492847240595,130.3186223510162
15.12856149673462,-0.26249997409257225,0.35018234435008205,2.0627115384615315,3.202499683929381,5.352893592648423,-111.00174342748376,66.20437702595767,149.18703135243453,129.24552828371313
15.175347328186035,-0.26249997409257225,0.35018234435008205,2.073076923076916,3.202499683929381,5.363258977263807,-111.12864272811501,65.95215574266709,149.31189608933252,129.22562471003204
15.230721235275269,-0.26249997409257225,0.35018234435008205,2.0834423076923003,3.191999684965679,5.363124362915489,-111.34698171750603,65.4836663377592,149.54002084699027,129.17531070074344
15.270175218582153,-0.26249997409257225,0.33988286363390313,2.114538461538454,3.16049968807457,5.352421039154355,-112.34131648619035,64.54130486020979,150.1221652092118,129.56138090846719
15.320188760757446,-0.26249997409257225,0.33988286363390313,2.145634615384608,3.128999691183461,5.3520171961094,-112.99778433023036,63.13281338684821,150.80754006803804,129.43821456463255
15.374422073364258,-0.26249997409257225,0.33988286363390313,2.176730769230762,3.107999693256055,5.362113352028148,-113.55770640159619,61.94917875680048,151.3861917346972,129.35630418280024
15.421745300292969,-0.26249997409257225,0.33988286363390313,2.197461538461531,3.076499696364947,5.3513441243678095,-114.0921175850501,60.78485518535599,151.9526486999553,129.27416569038687
15.471100091934204,-0.26249997409257225,0.33988286363390313,2.238923076923069,3.034499700510135,5.350805666974535,-114.96778241200785,58.90606332450518,152.87075157121066,129.1801660051782
15.516957759857178,-0.26249997409257225,0.33988286363390313,2.2803846153846075,3.0029997036190266,5.360767208544965,-115.74266630497289,57.26121954946563,153.67707622581747,129.1325368281612
15.574382781982422,-0.26249997409257225,0.33988286363390313,2.3218461538461455,2.960999707764215,5.360228751151691,-116.61695755002657,55.38537657138285,154.59535995392378,129.10094781285915
15.626673460006714,-0.26249997409257225,0.33988286363390313,2.3633076923076843,2.8979997139819975,5.338690295831013,-117.70065552026442,53.02472898413268,155.74819933974533,129.09324611977448
15.670267105102539,-0.26249997409257225,0.35018234435008205,2.394403846153838,2.845499719163483,5.327585935574831,-118.21918172867858,50.67751992972965,156.7964322399361,128.6234269284817
15.724289178848267,-0.26249997409257225,0.3604818250662609,2.415134615384607,2.8139997222723747,5.32711618863067,-118.41256325192268,49.04557464139024,157.5010387212663,128.16787244779704
15.766087532043457,-0.2729999730562751,0.37078130578243973,2.4565961538461454,2.76149972745386,5.31587721402617,-119.6301343842847,46.43374120798036,158.7865668911525,128.32560685760154
15.816900730133057,-0.26249997409257225,0.3913802672147975,2.487692307692299,2.698499733671643,5.3150723344861674,-119.32147121741201,43.412951121527676,160.00700185876246,126.97361071721885
15.87426495552063,-0.26249997409257225,0.4119792286471553,2.5291538461538376,2.656499737816831,5.335132838525252,-119.49127326850233,40.677176767182,161.2004171333673,126.2251840841457
15.924339294433594,-0.26249997409257225,0.4119792286471553,2.560249999999991,2.6249997409257224,5.3347289954802966,-120.15040977820927,39.262314277530955,161.9038315487598,126.4027305571332
15.98043966293335,-0.26249997409257225,0.4222787093633342,2.591346153846145,2.593499744034614,5.34462463315152,-120.45292632715034,37.433862643907425,162.73601626770608,126.1356473532238
16.03289532661438,-0.26249997409257225,0.43257819007951304,2.6328076923076833,2.5514997481798023,5.3543856564744265,-120.97326205186921,35.14215251194161,163.8016723890257,125.97420773572178
16.08256959915161,-0.26249997409257225,0.44287767079569196,2.6846346153846063,2.488499754397585,5.353512066485311,-121.82286744148286,32.10657458043979,165.23535883999466,125.98270977778834
16.1315176486969,-0.26249997409257225,0.46347663222804975,2.71573076923076,2.4359997595790706,5.352707186945308,-121.98938104781651,29.325281291535685,166.4830274567425,125.46466120488695
16.182878017425537,-0.26249997409257225,0.46347663222804975,2.7260961538461443,2.4254997606153674,5.352572572596989,-122.20842360140858,28.854947183979032,166.71505335857833,125.56873327437661
16.228382349014282,-0.26249997409257225,0.46347663222804975,2.7260961538461443,2.4149997616516647,5.342072573633287,-122.32224429167877,28.56442812419385,166.85595166555586,125.61312830518702
16.35548424720764,-0.26249997409257225,0.4531771515118708,2.705365384615375,2.4569997575064764,5.353042319541149,-122.0156286045397,30.48090355267062,165.97392354255794,125.7652539660624
16.416932582855225,-0.2729999730562751,0.44287767079569196,2.6535384615384525,2.5304997502523965,5.353915909530266,-121.63848735132218,33.73737531719787,164.4982341370641,126.23047214682848
16.464932680130005,-0.2729999730562751,0.43257819007951304,2.612076923076914,2.582999745070911,5.354654885171063,-121.00790331138744,36.302494277428345,163.30070221236127,126.33599548260507
16.514940977096558,-0.2729999730562751,0.4222787093633342,2.5809807692307603,2.6144997419620197,5.344759247499839,-120.70698200144274,38.125419854451316,162.47122663242436,126.58484562922536
